oldModelID,oldModelName,newModelID,newModelName,modifyStartDate,remarks
19,奥迪A4,692,奥迪A4L,2011/9/1,特殊处理，全改成奥迪A4L
509,奥迪A6,18,奥迪A6L,2011/9/1,特殊处理，全改成奥迪A6L
812,奥迪Q5,4851,奥迪Q5L,2018/8/1,2018/7/6开始销售，之后的数据是奥迪Q5L
50,索纳塔八,3672,索纳塔九,2011/9/1,新索纳塔即将上市，先处理成索纳塔九
2649,索纳塔,3672,索纳塔九,2011/9/1,新索纳塔即将上市，先处理成索纳塔九
3103,朗行,614,朗逸,2018/9/1,2018年8月31日开始销售
3197,朗境,614,朗逸,2018/9/1,2018年8月31日开始销售
415,Cayman,4175,保时捷718,2011/9/1,cayman与boxster为车款名，全部改为保时捷718
168,Boxster,4175,保时捷718,2011/9/1,cayman与boxster为车款名，全部改为保时捷718
2313,迈锐宝,4031,迈锐宝XL,2019/4/1,2019年3月4日开始销售
3780,宋,5178,宋Pro,2019/9/1,2019年7月11日开始销售
4394,宋新能源,5279,宋Pro新能源,2019/9/1,2019年7月11日开始销售
3395,江淮iEV,5223,江淮iEV7,2019/4/1,2019年3月25日开始销售
3961,江淮iEV6S,4444,江淮iEV7S,2019/9/1,2019年8月29日开始销售
4443,江淮iEV7E,4444,江淮iEV7S,2019/9/1,2019年8月29日开始销售
2418,马自达3星骋,3294,马自达3 昂克赛拉,2011/9/1,特殊处理，全改成昂克赛拉
363,马自达3,3294,马自达3 昂克赛拉,2011/9/1,特殊处理，全改成昂克赛拉
3648,奇瑞eQ,4218,奇瑞eQ1,2017/4/1,2017年3月25日开始销售
639,世嘉,3873,C4世嘉,2015/12/1,2015年11月18日上市