modelID,brandID,brandName,levelID,levelName,modelName,nation
3781,146,比亚迪,suva0,小型SUV,元,中国
289,3,玛莎拉蒂,d,大型车,总裁,意大利
64,92,东风日产,a,紧凑型车,阳光,日本
103,56,林肯,d,大型车,城市,美国
396,33,奇瑞汽车,suva0,小型SUV,瑞虎,中国
231,75,本田(进口),c,中大型车,里程,日本
2484,208,开瑞汽车,mb,微面,优雅,中国
377,355,广汽三菱,suvc,中大型SUV,帕杰罗,日本
199,89,雷诺(进口),mpv,MPV,风景,法国
545,166,一汽吉林,mpv,MPV,森雅,日本
252,74,现代(进口),s,跑车,酷派,韩国
23,12,北京吉普,suvc,中大型SUV,大切诺基,美国
205,73,日产(进口),b,中型车,风度,日本
133,54,吉利汽车,a0,小型车,豪情,中国
2580,336,观致汽车,a,紧凑型车,观致,中国
625,4,长城汽车,a00,微型车,欧拉,中国
468,158,陆风汽车,mpv,MPV,风尚,中国
3086,327,东风小康,mb,微面,东风风光,中国
554,164,东风风行,a,紧凑型车,景逸,中国
566,180,北京克莱斯勒,b,中型车,铂锐,美国
389,144,迈巴赫,d,大型车,迈巴赫,德国
3497,388,知豆电动车,a00,微型车,知豆,中国
284,57,东风悦达起亚,mpv,MPV,嘉华,韩国
594,74,现代(进口),c,中大型车,劳恩斯,韩国
3177,49,路虎(进口),suvb,中型SUV,神行者,英国
2094,304,光冈自动车,s,跑车,女王,日本
2531,329,南京依维柯,qk,轻客,都灵,意大利
2521,141,猎豹汽车,dp,低端皮卡,飞扬,中国
376,73,日产(进口),c,中大型车,风雅,日本
810,75,本田(进口),suvb,中型SUV,Pilot,日本
3456,170,江淮汽车,dp,低端皮卡,征途,中国
571,158,陆风汽车,a0,小型车,风华,中国
3091,397,长安轻型车,qk,轻客,尊行,中国
3087,150,永源汽车,suva0,小型SUV,猎鹰,中国
653,87,欧宝,b,中型车,英速亚,德国
2025,61,福特(进口),suvd,大型SUV,征服者,美国
2893,73,日产(进口),suva0,小型SUV,Terra,日本
2082,303,Gumpert,s,跑车,Apollo,德国
4432,319,广汽菲克Jeep,suvb,中型SUV,云图,美国
2184,89,雷诺(进口),b,中型车,纬度,法国
960,73,日产(进口),suvd,大型SUV,ARMADA,日本
761,142,雪佛兰(进口),mpv,MPV,Orlando,美国
263,71,Jeep(进口),suvb,中型SUV,自由人,美国
682,142,雪佛兰(进口),a,紧凑型车,沃蓝达,美国
3350,79,奥迪(进口),suva0,小型SUV,allroad,德国
2218,79,奥迪(进口),s,跑车,quattro,德国
4597,388,知豆电动车,a00,微型车,知豆D3,中国
3534,73,日产(进口),gp,高端皮卡,纳瓦拉(海外),日本
4307,173,郑州日产,dp,低端皮卡,纳瓦拉,日本
2850,189,中兴汽车,suvb,中型SUV,无限,中国
956,75,本田(进口),suva,紧凑型SUV,元素,日本
306,120,宾利,d,大型车,雅致,英国
573,363,SRT,s,跑车,蝰蛇,美国
4525,26,一汽海马,mpv,MPV,福美来F7,中国
906,50,大众(进口),a,紧凑型车,Jetta,德国
4268,50,大众(进口),b,中型车,Arteon,德国
3474,146,比亚迪,mpv,MPV,商,中国
4923,312,北京汽车,suva,紧凑型SUV,智行,中国